id,owner_id,owner_kind,article_code,condition_type,text,normalized_text,required
condition_article_1_clause_0,article_1_clause_0,Clause,1,quantity_or_value_threshold,"Bộ luật hình sự có nhiệm vụ bảo vệ chủ quyền quốc gia, an ninh của đất nước, bảo vệ chế độ xã hội chủ nghĩa, quyền con người, quyền công dân, bảo vệ quyền bình đẳng giữa đồng bào các dân tộc, bảo vệ lợi ích của Nhà nước, tổ chức, bảo vệ trật tự pháp luật, chống mọi hành vi phạm tội; giáo dục mọi người ý thức tuân theo pháp luật, phòng ngừa và đấu tranh chống tội phạm. Bộ luật này quy định về tội phạm và hình phạt.",bo luat hinh su co nhiem vu bao ve chu quyen quoc gia an ninh cua dat nuoc bao ve che do xa hoi chu nghia quyen con nguoi quyen cong dan bao ve quyen binh dang giua dong bao cac dan toc bao ve loi ich cua nha nuoc to chuc bao ve trat tu phap luat chong moi hanh vi pham toi giao duc moi nguoi y thuc tuan theo phap luat phong ngua va dau tranh chong toi pham bo luat nay quy dinh ve toi pham va hinh phat,true
condition_article_2_clause_1,article_2_clause_1,Clause,2,act_and_subject,Chỉ người nào phạm một tội đã được Bộ luật hình sự quy định mới phải chịu trách nhiệm hình sự.,chi nguoi nao pham mot toi da duoc bo luat hinh su quy dinh moi phai chiu trach nhiem hinh su,true
condition_article_2_clause_2,article_2_clause_2,Clause,2,act_and_subject,Chỉ pháp nhân thương mại nào phạm một tội đã được quy định tại Điều 76 của Bộ luật này mới phải chịu trách nhiệm hình sự.,chi phap nhan thuong mai nao pham mot toi da duoc quy dinh tai dieu 76 cua bo luat nay moi phai chiu trach nhiem hinh su,true
condition_article_3_clause_1,article_3_clause_1,Clause,3,quantity_or_value_threshold,"Đối với người phạm tội: a) Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật; b) Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội; c) Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội; d) Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra; đ) Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục; e) Đối với người bị phạt tù thì buộc họ phải chấp hành hình phạt tại các cơ sở giam giữ, phải lao động, học tập để trở thành người có ích cho xã hội; nếu họ có đủ điều kiện do Bộ luật này quy định, thì có thể được xét giảm thời hạn chấp hành hình phạt, tha tù trước thời hạn có điều kiện; g) Người đã chấp hành xong hình phạt được tạo điều kiện làm ăn, sinh sống lương thiện, hòa nhập với cộng đồng, khi có đủ điều kiện do luật định thì được xóa án tích.",doi voi nguoi pham toi a moi hanh vi pham toi do nguoi thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat b moi nguoi pham toi deu binh dang truoc phap luat khong phan biet gioi tinh dan toc tin nguong ton giao thanh phan dia vi xa hoi c nghiem tri nguoi chu muu cam dau chi huy ngoan co chong doi con do tai pham nguy hiem loi dung chuc vu quyen han de pham toi d nghiem tri nguoi pham toi dung thu doan xao quyet co to chuc co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong khoan hong doi voi nguoi tu thu dau thu thanh khan khai bao to giac dong pham lap cong chuoc toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an an nan hoi cai tu nguyen sua chua hoac boi thuong thiet hai gay ra d doi voi nguoi lan dau pham toi it nghiem trong thi co the ap dung hinh phat nhe hon hinh phat tu giao ho cho co quan to chuc hoac gia dinh giam sat giao duc e doi voi nguoi bi phat tu thi buoc ho phai chap hanh hinh phat tai cac co so giam giu phai lao dong hoc tap de tro thanh nguoi co ich cho xa hoi neu ho co du dieu kien do bo luat nay quy dinh thi co the duoc xet giam thoi han chap hanh hinh phat tha tu truoc thoi han co dieu kien g nguoi da chap hanh xong hinh phat duoc tao dieu kien lam an sinh song luong thien hoa nhap voi cong dong khi co du dieu kien do luat dinh thi duoc xoa an tich,true
condition_article_3_clause_2,article_3_clause_2,Clause,3,aggravating_or_frame_factor,"Đối với pháp nhân thương mại phạm tội: a) Mọi hành vi phạm tội do pháp nhân thương mại thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật; b) Mọi pháp nhân thương mại phạm tội đều bình đẳng trước pháp luật, không phân biệt hình thức sở hữu và thành phần kinh tế; c) Nghiêm trị pháp nhân thương mại phạm tội dùng thủ đoạn tinh vi, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng; d) Khoan hồng đối với pháp nhân thương mại tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, tự nguyện sửa chữa, bồi thường thiệt hại gây ra, chủ động ngăn chặn hoặc khắc phục hậu quả xảy ra.",doi voi phap nhan thuong mai pham toi a moi hanh vi pham toi do phap nhan thuong mai thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat b moi phap nhan thuong mai pham toi deu binh dang truoc phap luat khong phan biet hinh thuc so huu va thanh phan kinh te c nghiem tri phap nhan thuong mai pham toi dung thu doan tinh vi co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong d khoan hong doi voi phap nhan thuong mai tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an tu nguyen sua chua boi thuong thiet hai gay ra chu dong ngan chan hoac khac phuc hau qua xay ra,true
condition_article_3_clause_1_point_a,article_3_clause_1_point_a,Point,3,condition,"Mọi hành vi phạm tội do người thực hiện phải được phát hiện kịp thời, xử lý nhanh chóng, công minh theo đúng pháp luật;",moi hanh vi pham toi do nguoi thuc hien phai duoc phat hien kip thoi xu ly nhanh chong cong minh theo dung phap luat,true
condition_article_3_clause_1_point_b,article_3_clause_1_point_b,Point,3,act_and_subject,"Mọi người phạm tội đều bình đẳng trước pháp luật, không phân biệt giới tính, dân tộc, tín ngưỡng, tôn giáo, thành phần, địa vị xã hội;",moi nguoi pham toi deu binh dang truoc phap luat khong phan biet gioi tinh dan toc tin nguong ton giao thanh phan dia vi xa hoi,true
condition_article_3_clause_1_point_c,article_3_clause_1_point_c,Point,3,aggravating_or_frame_factor,"Nghiêm trị người chủ mưu, cầm đầu, chỉ huy, ngoan cố chống đối, côn đồ, tái phạm nguy hiểm, lợi dụng chức vụ, quyền hạn để phạm tội;",nghiem tri nguoi chu muu cam dau chi huy ngoan co chong doi con do tai pham nguy hiem loi dung chuc vu quyen han de pham toi,true
condition_article_3_clause_1_point_d,article_3_clause_1_point_d,Point,3,quantity_or_value_threshold,"Nghiêm trị người phạm tội dùng thủ đoạn xảo quyệt, có tổ chức, có tính chất chuyên nghiệp, cố ý gây hậu quả đặc biệt nghiêm trọng. Khoan hồng đối với người tự thú, đầu thú, thành khẩn khai báo, tố giác đồng phạm, lập công chuộc tội, tích cực hợp tác với cơ quan có trách nhiệm trong việc phát hiện tội phạm hoặc trong quá trình giải quyết vụ án, ăn năn hối cải, tự nguyện sửa chữa hoặc bồi thường thiệt hại gây ra;",nghiem tri nguoi pham toi dung thu doan xao quyet co to chuc co tinh chat chuyen nghiep co y gay hau qua dac biet nghiem trong khoan hong doi voi nguoi tu thu dau thu thanh khan khai bao to giac dong pham lap cong chuoc toi tich cuc hop tac voi co quan co trach nhiem trong viec phat hien toi pham hoac trong qua trinh giai quyet vu an an nan hoi cai tu nguyen sua chua hoac boi thuong thiet hai gay ra,true
condition_article_3_clause_1_point_d,article_3_clause_1_point_d,Point,3,condition,"Đối với người lần đầu phạm tội ít nghiêm trọng, thì có thể áp dụng hình phạt nhẹ hơn hình phạt tù, giao họ cho cơ quan, tổ chức hoặc gia đình giám sát, giáo dục;",doi voi nguoi lan dau pham toi it nghiem trong thi co the ap dung hinh phat nhe hon hinh phat tu giao ho cho co quan to chuc hoac gia dinh giam sat giao duc,true
