id,crime_id,article_id,article_code,requirement_type,text,normalized_text
consreq_crime_109_consequence_hau_qua_nghiem_trong_thi_bi_phat_tu_tu_12_nam_den_20_nam_hoac_tu_chung_than,crime_109,article_109,109,consequence,"hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân",hau qua nghiem trong thi bi phat tu tu 12 nam den 20 nam hoac tu chung than
consreq_crime_111_consequence_hau_qua_nghiem_trong_thi_bi_phat_tu_tu_12_nam_den_20_nam_hoac_tu_chung_than,crime_111,article_111,111,consequence,"hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân",hau qua nghiem trong thi bi phat tu tu 12 nam den 20 nam hoac tu chung than
consreq_crime_112_consequence_hau_qua_nghiem_trong_thi_bi_phat_tu_tu_12_nam_den_20_nam_tu_chung_than_hoac_tu_hinh,crime_112,article_112,112,consequence,"hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình",hau qua nghiem trong thi bi phat tu tu 12 nam den 20 nam tu chung than hoac tu hinh
consreq_crime_123_consequence_lam_chet_nhieu_nguoi,crime_123,article_123,123,consequence,làm chết nhiều người,lam chet nhieu nguoi
consreq_crime_124_consequence_hau_qua_dua_tre_chet_thi_bi_phat_cai_tao_khong_giam_giu_den_02_nam_hoac_bi_phat_tu_tu_03_thang_den,crime_124,article_124,124,consequence,"hậu quả đứa trẻ chết, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc bị phạt tù từ 03 tháng đến 02 năm",hau qua dua tre chet thi bi phat cai tao khong giam giu den 02 nam hoac bi phat tu tu 03 thang den 02 nam
consreq_crime_127_consequence_lam_chet_nguoi_do_dung_vu_luc_ngoai_nhung_truong_hop_phap_luat_cho_phep_thi_bi_phat_tu_tu_05_nam_d,crime_127,article_127,127,consequence,"làm chết người do dùng vũ lực ngoài những trường hợp pháp luật cho phép, thì bị phạt tù từ 05 năm đến 10 năm",lam chet nguoi do dung vu luc ngoai nhung truong hop phap luat cho phep thi bi phat tu tu 05 nam den 10 nam
consreq_crime_127_consequence_lam_chet_02_nguoi_tro_len,crime_127,article_127,127,consequence,Làm chết 02 người trở lên,lam chet 02 nguoi tro len
consreq_crime_128_consequence_lam_chet_nguoi_thi_bi_phat_cai_tao_khong_giam_giu_den_03_nam_hoac_phat_tu_tu_01_nam_den_05_nam,crime_128,article_128,128,consequence,"làm chết người, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm",lam chet nguoi thi bi phat cai tao khong giam giu den 03 nam hoac phat tu tu 01 nam den 05 nam
consreq_crime_128_consequence_lam_chet_02_nguoi_tro_len_thi_bi_phat_tu_tu_03_nam_den_10_nam,crime_128,article_128,128,consequence,"làm chết 02 người trở lên, thì bị phạt tù từ 03 năm đến 10 năm",lam chet 02 nguoi tro len thi bi phat tu tu 03 nam den 10 nam
consreq_crime_129_consequence_lam_chet_nguoi_do_vi_pham_quy_tac_nghe_nghiep_hoac_quy_tac_hanh_chinh_thi_bi_phat_tu_tu_01_nam_den,crime_129,article_129,129,consequence,"làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính, thì bị phạt tù từ 01 năm đến 05 năm",lam chet nguoi do vi pham quy tac nghe nghiep hoac quy tac hanh chinh thi bi phat tu tu 01 nam den 05 nam
