id,penalty_frame_id,role,penalty_type,text,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty
penalty_penalty_article_9_clause_1_1_main,penalty_article_9_clause_1_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_9_clause_1_2_main,penalty_article_9_clause_1_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_9_clause_1_point_d_1_main,penalty_article_9_clause_1_point_d_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_9_clause_1_point_d_2_main,penalty_article_9_clause_1_point_d_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_32_clause_1_1_main,penalty_article_32_clause_1_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_32_clause_1_2_main,penalty_article_32_clause_1_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_32_clause_1_point_e_1_main,penalty_article_32_clause_1_point_e_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_32_clause_1_point_g_1_main,penalty_article_32_clause_1_point_g_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_39_clause_0_1_main,penalty_article_39_clause_0_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_39_clause_0_2_main,penalty_article_39_clause_0_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_40_clause_1_1_main,penalty_article_40_clause_1_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_40_clause_2_1_main,penalty_article_40_clause_2_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_40_clause_3_1_main,penalty_article_40_clause_3_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_40_clause_4_1_main,penalty_article_40_clause_4_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_40_clause_4_2_main,penalty_article_40_clause_4_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_55_clause_1_1_main,penalty_article_55_clause_1_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_55_clause_1_2_main,penalty_article_55_clause_1_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_55_clause_1_point_c_1_main,penalty_article_55_clause_1_point_c_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_55_clause_1_point_d_1_main,penalty_article_55_clause_1_point_d_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_57_clause_3_1_main,penalty_article_57_clause_3_1,main,imprisonment,phạt tù không quá 20 năm,,240,,,true,true
penalty_penalty_article_60_clause_2_1_main,penalty_article_60_clause_2_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_60_clause_2_2_main,penalty_article_60_clause_2_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_60_clause_2_point_d_1_main,penalty_article_60_clause_2_point_d_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_60_clause_2_point_d_2_main,penalty_article_60_clause_2_point_d_2,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_63_clause_1_1_main,penalty_article_63_clause_1_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_63_clause_2_1_main,penalty_article_63_clause_2_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_63_clause_3_1_main,penalty_article_63_clause_3_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_63_clause_5_1_main,penalty_article_63_clause_5_1,main,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_63_clause_6_1_main,penalty_article_63_clause_6_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_65_clause_1_1_main,penalty_article_65_clause_1_1,main,imprisonment,phạt tù không quá 03 năm,,36,,,false,false
penalty_penalty_article_66_clause_1_1_additional,penalty_article_66_clause_1_1,additional,life_imprisonment,tù chung thân,,,,,true,false
penalty_penalty_article_66_clause_2_1_main,penalty_article_66_clause_2_1,main,death_penalty,tử hình,,,,,false,true
penalty_penalty_article_66_clause_1_point_d_1_main,penalty_article_66_clause_1_point_d_1,main,life_imprisonment,tù chung thân,,,,,true,false
