id,owner_id,owner_kind,article_code,penalty_type,min_imprisonment_months,max_imprisonment_months,fine_min_vnd,fine_max_vnd,has_life_imprisonment,has_death_penalty,text
penalty_article_9_clause_1_1,article_9_clause_1,Clause,9,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_9_clause_1_2,article_9_clause_1,Clause,9,death_penalty,,,,,false,true,tử hình
penalty_article_9_clause_1_point_d_1,article_9_clause_1_point_d,Point,9,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_9_clause_1_point_d_2,article_9_clause_1_point_d,Point,9,death_penalty,,,,,false,true,tử hình
penalty_article_32_clause_1_1,article_32_clause_1,Clause,32,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_32_clause_1_2,article_32_clause_1,Clause,32,death_penalty,,,,,false,true,tử hình
penalty_article_32_clause_1_point_e_1,article_32_clause_1_point_e,Point,32,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_32_clause_1_point_g_1,article_32_clause_1_point_g,Point,32,death_penalty,,,,,false,true,tử hình
penalty_article_39_clause_0_1,article_39_clause_0,Clause,39,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_39_clause_0_2,article_39_clause_0,Clause,39,death_penalty,,,,,false,true,tử hình
penalty_article_40_clause_1_1,article_40_clause_1,Clause,40,death_penalty,,,,,false,true,tử hình
penalty_article_40_clause_2_1,article_40_clause_2,Clause,40,death_penalty,,,,,false,true,tử hình
penalty_article_40_clause_3_1,article_40_clause_3,Clause,40,death_penalty,,,,,false,true,tử hình
penalty_article_40_clause_4_1,article_40_clause_4,Clause,40,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_40_clause_4_2,article_40_clause_4,Clause,40,death_penalty,,,,,false,true,tử hình
penalty_article_55_clause_1_1,article_55_clause_1,Clause,55,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_55_clause_1_2,article_55_clause_1,Clause,55,death_penalty,,,,,false,true,tử hình
penalty_article_55_clause_1_point_c_1,article_55_clause_1_point_c,Point,55,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_55_clause_1_point_d_1,article_55_clause_1_point_d,Point,55,death_penalty,,,,,false,true,tử hình
penalty_article_57_clause_3_1,article_57_clause_3,Clause,57,imprisonment,,240,,,true,true,phạt tù không quá 20 năm
penalty_article_60_clause_2_1,article_60_clause_2,Clause,60,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_60_clause_2_2,article_60_clause_2,Clause,60,death_penalty,,,,,false,true,tử hình
penalty_article_60_clause_2_point_d_1,article_60_clause_2_point_d,Point,60,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_60_clause_2_point_d_2,article_60_clause_2_point_d,Point,60,death_penalty,,,,,false,true,tử hình
penalty_article_63_clause_1_1,article_63_clause_1,Clause,63,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_63_clause_2_1,article_63_clause_2,Clause,63,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_63_clause_3_1,article_63_clause_3,Clause,63,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_63_clause_5_1,article_63_clause_5,Clause,63,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_63_clause_6_1,article_63_clause_6,Clause,63,death_penalty,,,,,false,true,tử hình
penalty_article_65_clause_1_1,article_65_clause_1,Clause,65,imprisonment,,36,,,false,false,phạt tù không quá 03 năm
penalty_article_66_clause_1_1,article_66_clause_1,Clause,66,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_66_clause_2_1,article_66_clause_2,Clause,66,death_penalty,,,,,false,true,tử hình
penalty_article_66_clause_1_point_d_1,article_66_clause_1_point_d,Point,66,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_66_clause_2_point_b_1,article_66_clause_2_point_b,Point,66,death_penalty,,,,,false,true,tử hình
penalty_article_70_clause_2_1,article_70_clause_2,Clause,70,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_70_clause_2_2,article_70_clause_2,Clause,70,death_penalty,,,,,false,true,tử hình
penalty_article_70_clause_2_point_d_1,article_70_clause_2_point_d,Point,70,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_70_clause_2_point_d_2,article_70_clause_2_point_d,Point,70,death_penalty,,,,,false,true,tử hình
penalty_article_71_clause_2_1,article_71_clause_2,Clause,71,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_71_clause_2_2,article_71_clause_2,Clause,71,death_penalty,,,,,false,true,tử hình
penalty_article_71_clause_2_point_d_1,article_71_clause_2_point_d,Point,71,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_71_clause_2_point_d_2,article_71_clause_2_point_d,Point,71,death_penalty,,,,,false,true,tử hình
penalty_article_91_clause_5_1,article_91_clause_5,Clause,91,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_91_clause_5_2,article_91_clause_5,Clause,91,death_penalty,,,,,false,true,tử hình
penalty_article_101_clause_1_1,article_101_clause_1,Clause,101,life_imprisonment,,,,,true,false,tù chung thân
penalty_article_101_clause_1_2,article_101_clause_1,Clause,101,death_penalty,,,,,false,true,tử hình
