id,crime_id,article_id,article_code,owner_id,owner_kind,text,min_value,max_value,unit,normalized_text
threshold_condition_article_134_clause_1_tu_11_den_30,crime_134,article_134,134,condition_article_134_clause_1,Condition,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_condition_article_134_clause_1_11,crime_134,article_134,134,condition_article_134_clause_1,Condition,11%,11,,percent,11
threshold_condition_article_134_clause_2_point_a_tu_31_den_60,crime_134,article_134,134,condition_article_134_clause_2_point_a,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_134_clause_2_point_b_tu_11_den_30,crime_134,article_134,134,condition_article_134_clause_2_point_b,Condition,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_condition_article_134_clause_2_point_d_tu_11_den_30,crime_134,article_134,134,condition_article_134_clause_2_point_d,Condition,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_condition_article_134_clause_3_point_a_61_tro_len,crime_134,article_134,134,condition_article_134_clause_3_point_a,Condition,61% trở lên,61,,percent,61 tro len
threshold_condition_article_134_clause_3_point_b_tu_31_den_60,crime_134,article_134,134,condition_article_134_clause_3_point_b,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_134_clause_3_point_c_tu_31_den_60,crime_134,article_134,134,condition_article_134_clause_3_point_c,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_134_clause_3_point_d_tu_11_den_30,crime_134,article_134,134,condition_article_134_clause_3_point_d,Condition,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_condition_article_134_clause_4_point_b_61_tro_len,crime_134,article_134,134,condition_article_134_clause_4_point_b,Condition,61% trở lên,61,,percent,61 tro len
threshold_condition_article_134_clause_4_point_c_61_tro_len,crime_134,article_134,134,condition_article_134_clause_4_point_c,Condition,61% trở lên,61,,percent,61 tro len
threshold_condition_article_134_clause_4_point_d_61_tro_len,crime_134,article_134,134,condition_article_134_clause_4_point_d,Condition,61% trở lên,61,,percent,61 tro len
threshold_condition_article_134_clause_4_point_d_tu_31_den_60,crime_134,article_134,134,condition_article_134_clause_4_point_d,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_134_clause_5_point_b_61_tro_len,crime_134,article_134,134,condition_article_134_clause_5_point_b,Condition,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_1_tu_11_den_30,crime_134,article_134,134,article_134_clause_1,Clause,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_article_134_clause_1_11,crime_134,article_134,134,article_134_clause_1,Clause,11%,11,,percent,11
threshold_article_134_clause_2_tu_31_den_60,crime_134,article_134,134,article_134_clause_2,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_2_tu_11_den_30,crime_134,article_134,134,article_134_clause_2,Clause,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_article_134_clause_3_61_tro_len,crime_134,article_134,134,article_134_clause_3,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_3_tu_31_den_60,crime_134,article_134,134,article_134_clause_3,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_3_tu_11_den_30,crime_134,article_134,134,article_134_clause_3,Clause,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_article_134_clause_4_61_tro_len,crime_134,article_134,134,article_134_clause_4,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_4_tu_31_den_60,crime_134,article_134,134,article_134_clause_4,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_5_61_tro_len,crime_134,article_134,134,article_134_clause_5,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_2_point_a_tu_31_den_60,crime_134,article_134,134,article_134_clause_2_point_a,Point,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_2_point_b_tu_11_den_30,crime_134,article_134,134,article_134_clause_2_point_b,Point,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_article_134_clause_2_point_d_tu_11_den_30,crime_134,article_134,134,article_134_clause_2_point_d,Point,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_article_134_clause_3_point_a_61_tro_len,crime_134,article_134,134,article_134_clause_3_point_a,Point,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_3_point_b_tu_31_den_60,crime_134,article_134,134,article_134_clause_3_point_b,Point,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_3_point_c_tu_31_den_60,crime_134,article_134,134,article_134_clause_3_point_c,Point,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_3_point_d_tu_11_den_30,crime_134,article_134,134,article_134_clause_3_point_d,Point,từ 11% đến 30%,11,30,percent,tu 11 den 30
threshold_article_134_clause_4_point_b_61_tro_len,crime_134,article_134,134,article_134_clause_4_point_b,Point,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_4_point_c_61_tro_len,crime_134,article_134,134,article_134_clause_4_point_c,Point,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_4_point_d_61_tro_len,crime_134,article_134,134,article_134_clause_4_point_d,Point,61% trở lên,61,,percent,61 tro len
threshold_article_134_clause_4_point_d_tu_31_den_60,crime_134,article_134,134,article_134_clause_4_point_d,Point,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_134_clause_5_point_b_61_tro_len,crime_134,article_134,134,article_134_clause_5_point_b,Point,61% trở lên,61,,percent,61 tro len
threshold_condition_article_135_clause_1_tu_31_den_60,crime_135,article_135,135,condition_article_135_clause_1,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_135_clause_2_point_a_31_tro_len,crime_135,article_135,135,condition_article_135_clause_2_point_a,Condition,31% trở lên,31,,percent,31 tro len
threshold_condition_article_135_clause_2_point_b_61_tro_len,crime_135,article_135,135,condition_article_135_clause_2_point_b,Condition,61% trở lên,61,,percent,61 tro len
threshold_article_135_clause_1_000_000_dong_den_50_000,crime_135,article_135,135,article_135_clause_1,Clause,000.000 đồng đến 50.000,000.000,50.000,vnd,000 000 dong den 50 000
threshold_article_135_clause_1_000_dong,crime_135,article_135,135,article_135_clause_1,Clause,000 đồng,000,,vnd,000 dong
threshold_article_135_clause_1_tu_31_den_60,crime_135,article_135,135,article_135_clause_1,Clause,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_article_135_clause_2_31_tro_len,crime_135,article_135,135,article_135_clause_2,Clause,31% trở lên,31,,percent,31 tro len
threshold_article_135_clause_2_61_tro_len,crime_135,article_135,135,article_135_clause_2,Clause,61% trở lên,61,,percent,61 tro len
threshold_article_135_clause_2_point_a_31_tro_len,crime_135,article_135,135,article_135_clause_2_point_a,Point,31% trở lên,31,,percent,31 tro len
threshold_article_135_clause_2_point_b_61_tro_len,crime_135,article_135,135,article_135_clause_2_point_b,Point,61% trở lên,61,,percent,61 tro len
threshold_condition_article_136_clause_1_tu_31_den_60,crime_136,article_136,136,condition_article_136_clause_1,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_136_clause_3_61_tro_len,crime_136,article_136,136,condition_article_136_clause_3,Condition,61% trở lên,61,,percent,61 tro len
threshold_condition_article_136_clause_2_point_a_tu_31_den_60,crime_136,article_136,136,condition_article_136_clause_2_point_a,Condition,từ 31% đến 60%,31,60,percent,tu 31 den 60
threshold_condition_article_136_clause_2_point_b_61_tro_len,crime_136,article_136,136,condition_article_136_clause_2_point_b,Condition,61% trở lên,61,,percent,61 tro len
