id,from_id,from_label,from_article_id,from_article_code,to_article_code,text
reference_1,article_2,Article,article_2,2,76,Điều 2 tham chiếu Điều 76
reference_2,article_2_clause_2,Clause,article_2,2,76,Điều 2 tham chiếu Điều 76
reference_3,article_9,Article,article_9,9,76,Điều 9 tham chiếu Điều 76
reference_4,article_9_clause_2,Clause,article_9,9,76,Điều 9 tham chiếu Điều 76
reference_5,article_14,Article,article_14,14,109,Điều 14 tham chiếu Điều 109
reference_6,article_14,Article,article_14,14,113,Điều 14 tham chiếu Điều 113
reference_7,article_14,Article,article_14,14,299,Điều 14 tham chiếu Điều 299
reference_8,article_14,Article,article_14,14,123,Điều 14 tham chiếu Điều 123
reference_9,article_14,Article,article_14,14,168,Điều 14 tham chiếu Điều 168
reference_10,article_14_clause_1,Clause,article_14,14,109,Điều 14 tham chiếu Điều 109
reference_11,article_14_clause_1,Clause,article_14,14,113,Điều 14 tham chiếu Điều 113
reference_12,article_14_clause_1,Clause,article_14,14,299,Điều 14 tham chiếu Điều 299
reference_13,article_14_clause_3,Clause,article_14,14,123,Điều 14 tham chiếu Điều 123
reference_14,article_14_clause_3,Clause,article_14,14,168,Điều 14 tham chiếu Điều 168
reference_15,article_18,Article,article_18,18,389,Điều 18 tham chiếu Điều 389
reference_16,article_18_clause_2,Clause,article_18,18,389,Điều 18 tham chiếu Điều 389
reference_17,article_19,Article,article_19,19,390,Điều 19 tham chiếu Điều 390
reference_18,article_19_clause_1,Clause,article_19,19,390,Điều 19 tham chiếu Điều 390
reference_19,article_26,Article,article_26,26,421,Điều 26 tham chiếu Điều 421
reference_20,article_26,Article,article_26,26,422,Điều 26 tham chiếu Điều 422
reference_21,article_26,Article,article_26,26,423,Điều 26 tham chiếu Điều 423
reference_22,article_26_clause_0,Clause,article_26,26,421,Điều 26 tham chiếu Điều 421
reference_23,article_26_clause_0,Clause,article_26,26,422,Điều 26 tham chiếu Điều 422
reference_24,article_26_clause_0,Clause,article_26,26,423,Điều 26 tham chiếu Điều 423
reference_25,article_28,Article,article_28,28,27,Điều 28 tham chiếu Điều 27
reference_26,article_28,Article,article_28,28,353,Điều 28 tham chiếu Điều 353
reference_27,article_28,Article,article_28,28,354,Điều 28 tham chiếu Điều 354
reference_28,article_28_clause_3,Clause,article_28,28,353,Điều 28 tham chiếu Điều 353
reference_29,article_28_clause_3,Clause,article_28,28,354,Điều 28 tham chiếu Điều 354
reference_30,article_35,Article,article_35,35,77,Điều 35 tham chiếu Điều 77
reference_31,article_35_clause_4,Clause,article_35,35,77,Điều 35 tham chiếu Điều 77
reference_32,article_43,Article,article_43,43,44,Điều 43 tham chiếu Điều 44
reference_33,article_43_clause_0,Clause,article_43,43,44,Điều 43 tham chiếu Điều 44
reference_34,article_49,Article,article_49,49,21,Điều 49 tham chiếu Điều 21
reference_35,article_49_clause_1,Clause,article_49,49,21,Điều 49 tham chiếu Điều 21
reference_36,article_54,Article,article_54,54,51,Điều 54 tham chiếu Điều 51
reference_37,article_54_clause_1,Clause,article_54,54,51,Điều 54 tham chiếu Điều 51
reference_38,article_56,Article,article_56,56,55,Điều 56 tham chiếu Điều 55
reference_39,article_56,Article,article_56,56,55,Điều 56 tham chiếu Điều 55
reference_40,article_56_clause_1,Clause,article_56,56,55,Điều 56 tham chiếu Điều 55
reference_41,article_56_clause_2,Clause,article_56,56,55,Điều 56 tham chiếu Điều 55
reference_42,article_59,Article,article_59,59,54,Điều 59 tham chiếu Điều 54
reference_43,article_59_clause_0,Clause,article_59,59,54,Điều 59 tham chiếu Điều 54
reference_44,article_61,Article,article_61,61,353,Điều 61 tham chiếu Điều 353
reference_45,article_61,Article,article_61,61,354,Điều 61 tham chiếu Điều 354
reference_46,article_61_clause_0,Clause,article_61,61,353,Điều 61 tham chiếu Điều 353
reference_47,article_61_clause_0,Clause,article_61,61,354,Điều 61 tham chiếu Điều 354
reference_48,article_63,Article,article_63,63,40,Điều 63 tham chiếu Điều 40
reference_49,article_63_clause_6,Clause,article_63,63,40,Điều 63 tham chiếu Điều 40
reference_50,article_64,Article,article_64,64,63,Điều 64 tham chiếu Điều 63
reference_51,article_64_clause_0,Clause,article_64,64,63,Điều 64 tham chiếu Điều 63
reference_52,article_65,Article,article_65,65,56,Điều 65 tham chiếu Điều 56
reference_53,article_65_clause_5,Clause,article_65,65,56,Điều 65 tham chiếu Điều 56
reference_54,article_66,Article,article_66,66,299,Điều 66 tham chiếu Điều 299
reference_55,article_66,Article,article_66,66,40,Điều 66 tham chiếu Điều 40
reference_56,article_66,Article,article_66,66,56,Điều 66 tham chiếu Điều 56
